artigoEmPeriodico	2014		Chromatographic analysis and antioxidant capacity of Tabernaemontana catharinensis.	Natural Product Communications	BOLIGON, A. A. ; PIANA, M. ; Schwanz, T. G. ; PEREIRA, R. P. ; ROCHA, J. B. T. ; ATHAYDE, M. L. ; ATHAYDE, M. L.	B4	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.nut.2008.11.003	Beneficial effects of gradual intense exercise in tissues of rats fed with a diet deficient in vitamins and minerals: A pilot study.	Nutrition	Teixeira, A. M. ; MULLER, L. ; SANTOS, A. ; RECKZIEGEL, P. ; EMANUELLI, T ; ROCHA, J. B. T. ; BURGER, M. E.	Qualis nao identificado	Nutrition
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.pbb.2008.11.015	Intense exercise potentiates oxidative stress in striatum of reserpine-treated animals	Pharmacology, Biochemistry and Behavior	Teixeira, A. M. ; RECKZIEGEL, P. ; MULLER, L. ; PEREIRA, R. P. ; ROOS,D.H. ; ROCHA, J. B. T. ; BURGER, M. E.	B2	
artigoEmPeriodico	2009		Ethanolic extracts of seeds of Parinari curatellifolia exhibit potent antioxidant properties: A possible mechanism of its antidiabetic action	Journal of Pharmacognosy and Phytotherapy	Y. OGUNBOLUDE ; Ajayi, M.A. ; Ajagbawa. T.M. ; A. P. Igbakin ; Rocha, J.B.T. ; , Rocha JBT ; KADE, I. J.	Qualis nao identificado	Journal of Pharmacognosy and Phytotherapy
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.neuint.2009.01.015	Comparison of alterations in amino acids content in cultured astrocytes or neurons exposed to methylmercury separately or in co-culture.	Neurochemistry International	YIN, Z ; ALBRECHT, J. ; SYVERSEN, Tore ; JIANG, H. ; SUMMAR, M. ; ROCHA, J. B. T. ; FARINA, M ; ASCHNER, Michael	B2	
artigoEmPeriodico	2008	http://dx.doi.org/10.1080/14756360701809977	Comparative study of the inhibitory effect of antidepressants on cholinesterase activity in Bungarus sindanus (krait) venom, human serum and rat striatum	Journal of Enzyme Inhibition and Medicinal Chemistry	AHMED, Mushtaq ; ROCHA, J. B. T. ; Mazzanti, Cinthia ; HASSAN, Waseem ; Morsch, Vera ; Lucia Loro, Vania ; Thome, Gustavo ; Schetinger, Maria	C	Journal of Enzyme Inhibition and Medicinal Chemistry (Online)
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.neuro.2008.08.004	Involvement of striatal lipid peroxidation and inhibition of calcium influx into brain slices in neurobehavioral alterations in a rat model of short-term oral exposure to manganese	Neurotoxicology (Park Forest South)	AVILA, D ; Gubert, p ; FACHINETTO, R ; WAGNER, C ; ASCHNER, M ; ROCHA, J ; SOARES, F ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.brainresbull.2007.12.008	An organotellurium compound with antioxidant activity against excitotoxic agents without neurotoxic effects in brain of rats	Brain Research Bulletin	AVILA, D ; Gubert, p ; PALMA, A ; COLLE, D ; ALVES, D ; NOGUEIRA, C ; ROCHA, J ; SOARES, F	B5	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.fct.2007.07.014	Dietary diphenyl diselenide reduces the STZ-induced toxicity	Food and Chemical Toxicology	BARBOSA, N ; ROCHA, J ; SOARES, J ; WONDRACEK, D ; GONCALVES, J ; SCHETINGER, M ; NOGUEIRA, C ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2008		Acute Diphenyl Diselenide Treatment Reduces Hyperglycemia But DoesNot Change Delta-Aminolevulinate Dehydratase Activity in Alloxan-Induced Diabetes in Rats	Biological Pharmaceutical Bulletin	BARBOSA, N.B.V. ; OLIVEIRA, C. ; Araldi, D. ; FOLMER, V. ; ROCHA, J. B. T. ; NOGUEIRA, C. W.	C	Biological & Pharmaceutical Bulletin
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.atherosclerosis.2008.02.030	Diphenyl diselenide, a simple glutathione peroxidase mimetic, inhibits human LDL oxidation in vitro	Atherosclerosis (Amsterdam)	BEM, A ; FARINA, M ; PORTELLA, R ; NOGUEIRA, C ; DINIS, T ; LARANJINHA, J ; ALMEIDA, L ; ROCHA, J ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1002/jbt.20242	Diphenyl diselenide protects against hematological and immunological alterations induced by mercury in mice	Journal of Biochemical and Molecular Toxicology	Brandão, Ricardo ; Borges, Lysandro Pinto ; Oliveira, Renata de ; Rocha, João B. T. ; NOGUEIRA, Cristina W. ; ROCHA, J. B. T.	B3	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.fct.2008.03.019	Potentially adverse interactions between haloperidol and valerian	Food and Chemical Toxicology	DALLA CORTE, C. L. ; FACHINETTO, R. ; COLLE, D. ; PEREIRA, R. P. ; AVILA, D. S. ; VILLARINHO, JG ; WAGNER, C. ; PEREIRA, M.E. ; NOGUEIRA, C. W. ; SOARES, F. A. A. ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.lfs.2008.10.005	Oximes as inhibitors of low density lipoprotein oxidation	Life Sciences	DELIMAPORTELLA, R ; BARCELOS, R ; DEBEM, A ; CARRATU, V ; BRESOLIN, L ; ROCHA, J. B. T. ; SOARES, F	C	ASIA LIFE SCIENCES
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.pnpbp.2008.05.008	Diphenyl diselenide exerts anxiolytic-like effect in Wistar rats: Putative roles of GABAA and 5HT receptors	Progress in Neuro-Psychopharmacology Biological Psychiatry	GHISLENI, G ; KAZLAUCKAS, V ; BOTH, F ; PAGNUSSAT, N ; MIORANZZA, S ; ROCHA, J ; SOUZA, D ; PORCIUNCULA, L ; ROCHA, J. B. T.	C	Progress in Neuro Psychopharmacology & Biological Psychiatry
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.brainres.2008.04.033	Selenium compounds counteract the stimulation of ecto-nucleotidase activities in rat cultured cerebellar granule cells: Putative correlation with neuroprotective effects	Brain Research	GHISLENI, G ; PORCIUNCULA, L ; MIORANZZA, S ; BOECK, C ; ROCHA, J ; SOUZA, D ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.cbpc.2007.09.007	Diphenyl diselenide [(PhSe)2] inhibits Drosophila melanogaster ?-aminolevulinate dehydratase (?-ALA-D) gene transcription and enzyme activity	Comparative Biochemistry and Physiology. C, Toxicology Pharmacology	GOLOMBIESKI, R ; GRAICHEN, D ; PIVETTA, L ; NOGUEIRA, C ; LORETO, E ; ROCHA, J ; ROCHA, J. B. T.	B5	Biochemistry and Physiology
artigoEmPeriodico	2008		Over-activation of the Drosophila melanogaster hsp83 gene by selenium intoxication	Genetics and Molecular Biology (Impresso)	Golombieski, Ronaldo Medeiros ; Graichen, Daniel Ângelo Sgranzerla ; ROCHA, J. B. T. ; Valente, Vera Lúcia da Silva ; Loreto, Élgion Lúcio da Silva	B5	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.neuro.2007.08.012	Effects of in vivo treatment with diphenyl ditelluride on the phosphorylation of cytoskeletal proteins in cerebral cortex and hippocampus of rats	Neurotoxicology (Park Forest South)	Heimfarth, Luana ; Loureiro, Samanta Oliveira ; Zamoner, Ariane ; Pelaez, Priscila de Lima ; Nogueira, Cristina Wayne ; ROCHA, J. B. T. ; Pessoa-Pureur, Regina	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.fct.2008.06.007	Diphenyl diselenide reverses gastric lesions in rats: Involvement of oxidative stress	Food and Chemical Toxicology	INEU, R ; PEREIRA, M ; ASCHNER, M ; NOGUEIRA, C ; ZENI, G ; ROCHA, J ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.pnpbp.2008.08.010	Involvement of l-arginine nitric oxide cyclic guanosine monophosphate pathway in the antidepressant-like effect of tramadol in the rat forced swimming test	Progress in Neuro-Psychopharmacology Biological Psychiatry	JESSE, C ; BORTOLATTO, C ; SAVEGNAGO, L ; ROCHA, J. B. T. ; NOGUEIRA, C	C	Progress in Neuro Psychopharmacology & Biological Psychiatry
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.brainres.2008.01.005	Neuroprotective effect caused by MPEP, an antagonist of metabotropic glutamate receptor mGluR5, on seizures induced by pilocarpine in 21-day-old rats	Brain Research	JESSE, C ; SAVEGNAGO, L ; ROCHA, J ; NOGUEIRA, C ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.etp.2007.12.001	Sun-drying diminishes the antioxidative potentials of leaves of Eugenia uniflora against formation of thiobarbituric acid reactive substances induced in homogenates of rat brain and liver	Experimental and Toxicologic Pathology	KADE, I ; IBUKUN, E ; NOGUEIRA, C ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2008	http://dx.doi.org/10.1007/s11064-007-9432-8	Comparative Studies on Dicholesteroyl Diselenide and Diphenyl Diselenide as Antioxidant Agents and their Effect on the Activities of Na+/K+ ATPase and ?-Aminolevulinic acid Dehydratase in the Rat Brain	Neurochemical Research	Kade, Ige J. ; Paixão, Marcio W. ; Rodrigues, Oscar E. D. ; Barbosa, Nilda B. V. ; BRAGA, ANTONIO L. ; Ávila, Daiana S. ; NOGUEIRA, Cristina W. ; Rocha, João B. T. ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1007/s11483-008-9092-5	Antioxidant and Neuroprotective Properties of Sour Tea (Hibiscus sabdariffa, calyx) and Green Tea (Camellia sinensis) on some Pro-oxidant-induced Lipid Peroxidation in Brain in vitro	Food Biophysics	OBOH, G. ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2008	http://dx.doi.org/10.1089/jmf.2007.341	Hot Pepper ( Capsicum spp.) Protects Brain from Sodium Nitroprusside- and Quinolinic Acid-Induced Oxidative Stress In Vitro	Journal of Medicinal Food	Oboh, G. ; Rocha, J.B.T.	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.etp.2007.10.003	Acetaminophen-induced liver damage in mice: Effects of some medicinal plants on the oxidative defense system	Experimental and Toxicologic Pathology	OLALEYE, M ; ROCHA, B	B1	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.brainres.2008.01.004	Diphenyl diselenide confers neuroprotection against hydrogen peroxide toxicity in hippocampal slices	Brain Research	POSSER, T ; FRANCO, J ; DOSSANTOS, D ; RIGON, A ; FARINA, M ; DAFRE, A ; TEIXEIRAROCHA, J ; LEAL, R	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1007/s00204-008-0298-6	Antioxidant properties of oxime 3-(phenylhydrazono) butan-2-one	Archives of Toxicology	Puntel, Gustavo Orione ; Gubert, Priscila ; Peres, Gisele Louro ; Bresolin, Leandro ; ROCHA, João Batista Teixeira ; Pereira, Maria Ester ; Carratu, Vanessa Santana ; Soares, Félix A. Antunes ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.neuro.2008.04.017	Neurotoxicity of cadmium on immature hippocampus and a neuroprotective role for p38MAPK	Neurotoxicology (Park Forest South)	RIGON, A ; CORDOVA, F ; OLIVEIRA, C ; POSSER, T ; COSTA, A ; SILVA, I ; SANTOS, D ; ROSSI, F ; ROCHA, J ; LEAL, R ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.foodchem.2008.04.060	Water-extractable phytochemicals from Phyllanthus niruri exhibit distinct in vitro antioxidant and in vivo hepatoprotective activity against paracetamol-induced liver damage in mice	Food Chemistry	SABIR, S ; ROCHA, J	B2	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.jep.2008.08.017	Antioxidant and hepatoprotective activity of aqueous extract of Solanum fastigiatum (false Jurubeba ) against paracetamol-induced liver damage in mice	Journal of Ethnopharmacology	SABIR, S ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.pbb.2007.09.015	Diphenyl diselenide exerts antidepressant-like and anxiolytic-like effects in mice: Involvement of l-arginine-nitric oxide-soluble guanylate cyclase pathway in its antidepressant-like action	Pharmacology, Biochemistry and Behavior	SAVEGNAGO, L ; JESSE, C ; PINTO, L ; ROCHA, J ; BARANCELLI, D ; NOGUEIRA, C ; ZENI, G ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2008	http://dx.doi.org/10.1211/jpp/60.12.0015	Mechanisms involved in the antinociceptive effect caused by diphenyl diselenide in the formalin test	Journal of Pharmacy and Pharmacology	SAVEGNAGO, Lucielli ; Jesse, Cristiano R. ; Santos, Adair R. S. ; ROCHA, J. B. T. ; NOGUEIRA, Cristina W.	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1111/j.1478-3231.2007.01599.x	Plasmatic vitamin C in nontreated hepatitis C patients is negatively associated with aspartate aminotransferase	Liver International	Souza dos Santos, Rosane M. ; De Bem, Andreza F. ; Colpo, Elisângela ; Bertoncello, Iara ; NOGUEIRA, Cristina W. ; ROCHA, J. B. T.	A2	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.brainres.2008.01.061	Sub-chronical exposure to diphenyl diselenide enhances acquisition and retention of spatial memory in rats	Brain Research,	STANGHERLIN, E ; LUCHESE, C ; PINTON, S ; ROCHA, J ; NOGUEIRA, C	C	Brain Research
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.taap.2007.10.010	Prenatal methylmercury exposure hampers glutathione antioxidant system ontogenesis and causes long-lasting oxidative stress in the mouse brain	Toxicology and Applied Pharmacology	STRINGARI, J ; NUNES, A ; FRANCO, J ; BOHRER, D ; GARCIA, S ; DAFRE, A ; MILATOVIC, D ; SOUZA, D ; ROCHA, J. B. T. ; ASCHNER, M	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.pbb.2007.10.004	Influence of chronic exercise on reserpine-induced oxidative stress in rats: Behavioral and antioxidant evaluations	Pharmacology, Biochemistry and Behavior	TEIXEIRA, A ; TREVIZOL, F ; COLPO, G ; GARCIA, S ; CHARAO, M ; PEREIRA, R ; FACHINETTO, R ; ROCHA, J ; BURGER, M ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2008	http://dx.doi.org/10.1007/s00204-007-0271-9	Diphenyl diselenide supplementation delays the development of N-nitroso-N-methylurea-induced mammary tumors	Archives of Toxicology	Vargas Barbosa, Nilda Berenice ; Nogueira, Cristina Wayne ; Guecheva, Temenouga N. ; Lourdes Bellinaso, Maria ; ROCHA, João Batista Teixeira ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2008	http://dx.doi.org/10.1111/j.1471-4159.2008.05683.x	The methylmercury-l-cysteine conjugate is a substrate for the L-type large neutral amino acid transporter	Journal of Neurochemistry,	Yin, Zhaobao ; Jiang, Haiyan ; SYVERSEN, Tore ; Rocha, João B. T. ; FARINA, Marcelo ; ASCHNER, Michael ; ROCHA, J. B. T.	A2	Journal of Neurochemistry
artigoEmPeriodico	2007	http://dx.doi.org/10.1007/s10646-007-0137-1	Malathion, carbofuran and paraquat inhibit Bungarus sindanus (krait) venom acetylcholinesterase and human serum butyrylcholinesterase in vitro	Ecotoxicology (London)	AHMED, Mushtaq ; Rocha, João Batista T. ; MAZZANTI, Cinthia M. ; MORSCH, André L. B. ; Cargnelutti, Denise ; CORRÊA, Maísa ; Loro, Vânia ; MORSCH, Vera Maria ; Schetinger, Maria R. C. ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2007		Involvement of glutamate and reactive oxygen species in methylmercury neurotoxicity	Brazilian Journal of Medical and Biological Research	ASCHNER, Michael ; SYVERSEN, Tore ; SOUZA, D.O.G. ; ROCHA, J. B. T. ; FARINA, M	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.lfs.2007.02.033	A biochemical and toxicological study with diethyl 2-phenyl-2-tellurophenyl vinylphosphonate in a sub-chronic intraperitoneal treatment in mice	Life Sciences (1973)	AVILA, D ; Gubert, p ; DALLACORTE, C ; ALVES, D ; NOGUEIRA, C ; ROCHA, J ; SOARES, F ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.fct.2007.02.022	Repeated administration of diphenyl ditelluride induces hematological disorders in rats	Food and Chemical Toxicology	BORGES, V ; ROCHA, J ; SAVEGNAGO, L ; NOGUEIRA, C ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2007	http://dx.doi.org/10.1007/s11064-006-9231-7	Heavy Metals Modulate Glutamatergic System in Human Platelets	Neurochemical Research	BORGES, V. C. ; Santos, F. W. ; ROCHA, J. B. T. ; NOGUEIRA, C. W.	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.tiv.2006.09.015	1,1,2-Tris-organoselenide alkene derivatives, but not 1,2-bis-organoselenide alkene derivatives, inhibited ?-aminolevulinate dehydratase activity from human erythrocytic cells in vitro	Toxicology in Vitro	Borges, Vanessa C. ; Dadalt, Gabriele ; SAVEGNAGO, Lucielli ; Moro, Angélica V. ; ROCHA, J. B. T. ; NOGUEIRA, Cristina W.	B2	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.nut.2007.08.002	Long-term sucrose and glucose consumption decreases the ?-aminolevulinate dehydratase activity in mice	Nutrition	BRITO, V ; FOLMER, V ; SOARES, J ; SILVEIRA, I ; ROCHA, J ; ROCHA, J. B. T.	Qualis nao identificado	Nutrition
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.jclinane.2007.01.004	Opioid consumption in total intravenous anesthesia is reduced with dexmedetomidine: a comparative study with remifentanil in gynecologic videolaparoscopic surgery	Journal of Clinical Anesthesia	Bulow, Neusa Maria H. ; Barbosa, Nilda Vargas ; Rocha, Joao Batista Teixeira	B3	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.tox.2007.07.009	Effects of 2,3-dimercapto-1-propanesulfonic acid (DMPS) on methylmercury-induced locomotor deficits and cerebellar toxicity in mice	Toxicology (Amsterdam)	CARVALHO, M ; FRANCO, J ; GHIZONI, H ; KOBUS, K ; NAZARI, E ; ROCHA, J ; NOGUEIRA, C ; DAFRE, A ; MULLER, Y ; FARINA, M ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.biopha.2006.12.007	Oxidative stress and ?-ALA-D activity in chronic renal failure patients	Biomedicine Pharmacotherapy	DASILVA, A ; ROCHA, J ; MORSCH, A ; ZANIN, R ; KAIZER, R ; MALDONADO, P ; ARANTES, L ; SILVA, L ; MORSCH, V ; SCHETINGER, M ; ROCHA, J. B. T.	B2	Biomedicine & Pharmacotherapy
artigoEmPeriodico	2007	http://dx.doi.org/10.1111/j.1742-7843.2007.00073.x	Low Toxicity of Diphenyl Diselenide in Rabbits: A Long-Term Study	Basic Clinical Pharmacology Toxicology (Print)	de Bem, Andreza Fabro ; Portella, Rafael de Lima ; FARINA, Marcelo ; Perottoni, Juliano ; Paixão, Márcio Weber ; Nogueira, Cristina Wayne ; ROCHA, João Batista Teixeira ; ROCHA, J. B. T.	C	Basic & Clinical Pharmacology & Toxicology (Print)
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.pnpbp.2007.06.028	Valeriana officinalis does not alter the orofacial dyskinesia induced by haloperidol in rats: Role of dopamine transporter	Progress in Neuro-Psychopharmacology Biological Psychiatry	FACHINETTO, R ; VILLARINHO, J ; WAGNER, C ; PEREIRA, R ; AVILA, D ; BURGER, M ; CALIXTO, J ; ROCHA, J. B. T. ; FERREIRA, J	C	Progress in Neuro Psychopharmacology & Biological Psychiatry
artigoEmPeriodico	2007	http://dx.doi.org/10.1007/s00213-007-0831-y	Diphenyl diselenide decreases the prevalence of vacuous chewing movements induced by fluphenazine in rats	Psychopharmacologia (Heidelberg)	Fachinetto, Roselei ; Villarinho, Jardel G. ; Wagner, Caroline ; Pereira, Romaiana P. ; Puntel, Robson L. ; Paixão, Márcio W. ; BRAGA, ANTONIO L. ; Calixto, João Batista ; Rocha, João B. T. ; Ferreira, Juliano ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.fct.2006.11.005	Sub-chronic exposure of adult male rats to diphenyl ditelluride did not affect the development of their progeny	Food and Chemical Toxicology	FAVERO, A ; WEIS, S ; STANGHERLIN, E ; ROCHA, J. B. T. ; NOGUEIRA, C	B2	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.reprotox.2006.09.004	Adult male rats sub-chronically exposed to diphenyl diselenide: Effects on their progeny	Reproductive Toxicology (Elmsford, N.Y.)	FAVERO, A ; WEIS, S ; STANGHERLIN, E ; ZENI, G ; ROCHA, J ; NOGUEIRA, C ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.chemosphere.2007.04.008	Exposure to sublethal concentrations of Zn(II) and Cu(II) changes biochemical parameters in Leporinus obtusidens	Chemosphere (Oxford)	Gioda, C.R. ; Lissner, L.A. ; PRETTO, A. ; ROCHA, J. B. T. ; SCHETINGER, M.R.C. ; Neto, J.R. ; Morsch, V.M. ; Loro, V.L.	B2	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.cbi.2006.11.007	Cadmium inhibits ?-aminolevulinate dehydratase from rat lung in vitro: Interaction with chelating and antioxidant agents	Chemico-Biological Interactions (Print)	LUCHESE, C ; ZENI, G ; ROCHA, J. B. T. ; NOGUEIRA, C ; SANTOS, F	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2007	http://dx.doi.org/10.1111/j.1742-4658.2007.05805.x	Enzymes that hydrolyze adenine nucleotides of patients with hypercholesterolemia and inflammatory processes	The FEBS Journal (Print)	Medeiros Frescura Duarte, Marta ; Loro, Vânia L. ; Rocha, João B. T. ; Leal, Daniela B. R. ; Bem, Andreza F. de ; Dorneles, Aracéli ; Morsch, Vera M. ; Schetinger, Maria R. C. ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.ejphar.2007.03.039	Antinociceptive action of myricitrin: Involvement of the K+ and Ca2+ channels	European Journal of Pharmacology	MEOTTI, F ; FACHINETTO, R ; MAFFI, L ; MISSAU, F ; PIZZOLATTI, M ; ROCHA, J. B. T. ; SANTOS, A	B2	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.tiv.2006.12.014	Ebselen and diorganylchalcogenides decrease in vitro glutamate uptake by RAT brain slices: Prevention by DTT and GSH	Toxicology in Vitro	MORETTO, M ; THOMAZI, A ; GODINHO, G ; ROESSLER, T ; NOGUEIRA, C ; SOUZA, D ; WOFCHUK, S ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2007	http://dx.doi.org/10.1093/toxsci/kfm187	45Ca2+ Influx in Rat Brain: Effect of Diorganylchalcogenides Compounds	Toxicological Sciences	MORETTO, M. B. ; BOFF, B. ; Franco, J. ; POSSER, T. ; Roessler, T. M. ; SOUZA, D. O. ; NOGUEIRA, C. W. ; WOFCHUK, S. ; ROCHA, J. B. T.	B1	Journal of Toxicological Sciences (Online)
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.foodchem.2006.05.048	Hot pepper (Capsicum annuum, Tepin and Capsicum chinese, Habanero) prevents Fe2+-induced lipid peroxidation in brain in vitro	Food Chemistry	OBOH, G ; PUNTEL, R ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2007	http://dx.doi.org/10.1111/j.1745-4514.2007.00123.x	DISTRIBUTION AND ANTIOXIDANT ACTIVITY OF POLYPHENOLS IN RIPE AND UNRIPE TREE PEPPER (CAPSICUM PUBESCENS)	Journal of Food Biochemistry	OBOH, G. ; Rocha, J.B.T.	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1007/s00217-006-0410-1	Polyphenols in red pepper [Capsicum annuum var	aviculare (Tepin)] and their protective effect on some pro-oxidants induced lipid peroxidation in brain and liver. European Food Research and Technology	Oboh, Ganiyu ; Rocha, Joao Batista T. ; ROCHA, J. B. T.	Qualis nao identificado	aviculare (Tepin)] and their protective effect on some pro-oxidants induced lipid peroxidation in brain and liver. European Food Research and Technology
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.etp.2007.01.002	Commonly used tropical medicinal plants exhibt distinct in vitro antioxidant activities against hepatotoxins in rat liver	Experimental and Toxicologic Pathology	OLALYE, M ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.brainres.2007.01.126	Involvement of oxidative stress in seizures induced by diphenyl diselenide in rat pups	Brain Research	PRIGOL, M ; WILHELM, E ; SCHNEIDER, C ; ROCHA, J ; NOGUEIRA, C ; ZENI, G ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.lfs.2007.04.023	Antioxidant properties of Krebs cycle intermediates against malonate pro-oxidant activity in vitro: A comparative study using the colorimetric method and HPLC analysis to determine malondialdehyde in rat brain homogenates	Life Sciences (1973)	PUNTEL, R ; ROOS, D ; GROTTO, D ; GARCIA, S ; NOGUEIRA, C ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.cbi.2006.11.003	Oxalate modulates thiobarbituric acid reactive species (TBARS) production in supernatants of homogenates from rat brain, liver and kidney: Effect of diphenyl diselenide and diphenyl ditelluride	Chemico-Biological Interactions (Print)	PUNTEL, R ; ROOS, D ; PAIXAO, M ; BRAGA, A ; ZENI, G ; NOGUEIRA, C ; ROCHA, J ; ROCHA, J. B. T.	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.tox.2006.11.070	Diphenyl ditelluride effect on embryo/fetal development in mice: Interspecies differences	Toxicology (Amsterdam)	ROMAN, S ; NAVA, A ; FAVERO, A ; WEIS, S ; ZENI, G ; ROCHA, J ; NOGUEIRA, C ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.brainres.2007.07.086	Diphenyl diselenide attenuates acute thermal hyperalgesia and persistent inflammatory and neuropathic pain behavior in mice	Brain Research	SAVEGNAGO, L ; JESSE, C ; PINTO, L ; ROCHA, J ; NOGUEIRA, C ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.pnpbp.2007.05.006	Monoaminergic agents modulate antidepressant-like effect caused by diphenyl diselenide in rats	Progress in Neuro-Psychopharmacology Biological Psychiatry	SAVEGNAGO, L ; JESSE, C ; PINTO, L ; ROCHA, J ; NOGUEIRA, C ; ZENI, G ; ROCHA, J. B. T.	C	Progress in Neuro Psychopharmacology & Biological Psychiatry
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.ejphar.2006.10.003	Antinociceptive properties of diphenyl diselenide: Evidences for the mechanism of action	European Journal of Pharmacology	SAVEGNAGO, L ; PINTO, L ; JESSE, C ; ALVES, D ; ROCHA, J ; NOGUEIRA, C ; ZENI, G ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.brainres.2007.04.086	Spinal mechanisms of antinociceptive action caused by diphenyl diselenide	Brain Research	SAVEGNAGO, L ; PINTO, L ; JESSE, C ; ROCHA, J ; NOGUEIRA, C ; ZENI, G ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.tiv.2006.08.006	Screening of potentially toxic chalcogens in erythrocytes	Toxicology in Vitro	SCHIAR, V ; DOSSANTOS, D ; LUDTKE, D ; VARGAS, F ; PAIXAO, M ; NOGUEIRA, C ; ZENI, G ; ROCHA, J ; ROCHA, J. B. T.	B2	
